avere;ho;io;presente indicativo
avere;hai;tu;presente indicativo
avere;ha;lui;presente indicativo
avere;abbiamo;noi;presente indicativo
avere;avete;voi;presente indicativo
avere;hanno;loro;presente indicativo
avere;avevo;io;imperfetto indicativo
avere;avevi;tu;imperfetto indicativo
avere;aveva;lui;imperfetto indicativo
avere;avevamo;noi;imperfetto indicativo
avere;avevate;voi;imperfetto indicativo
avere;avevano;loro;imperfetto indicativo
avere;ebbi;io;passato remoto
avere;avesti;tu;passato remoto
avere;ebbe;lui;passato remoto
avere;avemmo;noi;passato remoto
avere;aveste;voi;passato remoto
avere;ebbero;loro;passato remoto
avere;avuto;-;participio passato
avere;ho avuto;io;passato prossimo
avere;hai avuto;tu;passato prossimo
avere;ha avuto;lui;passato prossimo
avere;abbiamo avuto;noi;passato prossimo
avere;avete avuto;voi;passato prossimo
avere;hanno avuto;loro;passato prossimo
avere;avevo avuto;io;trapassato prossimo
avere;avevi avuto;tu;trapassato prossimo
avere;aveva avuto;lui;trapassato prossimo
avere;avevamo avuto;noi;trapassato prossimo
avere;avevate avuto;voi;trapassato prossimo
avere;avevano avuto;loro;trapassato prossimo
avere;ebbi avuto;io;trapassato remoto
avere;avesti avuto;tu;trapassato remoto
avere;ebbe avuto;lui;trapassato remoto
avere;avemmo avuto;noi;trapassato remoto
avere;aveste avuto;voi;trapassato remoto
avere;ebbero avuto;loro;trapassato remoto
